round,oracle_reward,oracle_cumulative,ucb1_reward,ucb1_cumulative,ucb1_price,ucb1_regret,ucb1_cumulative_regret
277,0.5,73.0,0.4,59.700000000000024,0.4,0.09999999999999998,13.3
278,0.5,73.5,0.0,59.700000000000024,0.7,0.5,13.8
279,0.5,74.0,0.3,60.00000000000002,0.3,0.2,14.0
280,0.5,74.5,0.0,60.00000000000002,0.9,0.5,14.5
281,0.0,74.5,0.1,60.10000000000002,0.1,-0.1,14.4
282,0.0,74.5,0.4,60.50000000000002,0.4,-0.4,14.0
283,0.0,74.5,0.0,60.50000000000002,0.6,0.0,14.0
284,0.5,75.0,0.3,60.80000000000002,0.3,0.2,14.2
285,0.0,75.0,0.4,61.20000000000002,0.4,-0.4,13.799999999999999
286,0.0,75.0,0.0,61.20000000000002,0.2,0.0,13.799999999999999
287,0.5,75.5,0.0,61.20000000000002,0.5,0.5,14.299999999999999
288,0.0,75.5,0.0,61.20000000000002,0.8,0.0,14.299999999999999
289,0.5,76.0,0.0,61.20000000000002,1.0,0.5,14.799999999999999
290,0.0,76.0,0.0,61.20000000000002,0.4,0.0,14.799999999999999
291,0.0,76.0,0.0,61.20000000000002,0.3,0.0,14.799999999999999
292,0.5,76.5,0.0,61.20000000000002,0.7,0.5,15.299999999999999
293,0.0,76.5,0.0,61.20000000000002,0.9,0.0,15.299999999999999
294,0.0,76.5,0.1,61.30000000000002,0.1,-0.1,15.2
295,0.5,77.0,0.0,61.30000000000002,0.6,0.5,15.7
296,0.5,77.5,0.0,61.30000000000002,0.8,0.5,16.2
297,0.0,77.5,0.0,61.30000000000002,0.5,0.0,16.2
298,0.5,78.0,0.2,61.50000000000002,0.2,0.3,16.5
299,0.0,78.0,0.4,61.90000000000002,0.4,-0.4,16.1
300,0.0,78.0,0.0,61.90000000000002,0.3,0.0,16.1
301,0.5,78.5,0.4,62.30000000000002,0.4,0.09999999999999998,16.200000000000003
302,0.5,79.0,0.0,62.30000000000002,0.7,0.5,16.700000000000003
303,0.5,79.5,0.0,62.30000000000002,0.6,0.5,17.200000000000003
304,0.5,80.0,0.0,62.30000000000002,1.0,0.5,17.700000000000003
305,0.5,80.5,0.4,62.70000000000002,0.4,0.09999999999999998,17.800000000000004
306,0.5,81.0,0.1,62.80000000000002,0.1,0.4,18.200000000000003
307,0.0,81.0,0.2,63.00000000000002,0.2,-0.2,18.000000000000004
308,0.5,81.5,0.0,63.00000000000002,0.9,0.5,18.500000000000004
309,0.0,81.5,0.8,63.80000000000002,0.8,-0.8,17.700000000000003
310,0.0,81.5,0.0,63.80000000000002,0.8,0.0,17.700000000000003
311,0.0,81.5,0.4,64.20000000000002,0.4,-0.4,17.300000000000004
312,0.0,81.5,0.5,64.70000000000002,0.5,-0.5,16.800000000000004
313,0.5,82.0,0.5,65.20000000000002,0.5,0.0,16.800000000000004
314,0.5,82.5,0.0,65.20000000000002,0.5,0.5,17.300000000000004
315,0.5,83.0,0.4,65.60000000000002,0.4,0.09999999999999998,17.400000000000006
316,0.0,83.0,0.3,65.90000000000002,0.3,-0.3,17.100000000000005
317,0.0,83.0,0.0,65.90000000000002,0.8,0.0,17.100000000000005
318,0.0,83.0,0.0,65.90000000000002,0.4,0.0,17.100000000000005
319,0.0,83.0,0.0,65.90000000000002,0.2,0.0,17.100000000000005
320,0.5,83.5,0.0,65.90000000000002,0.6,0.5,17.600000000000005
321,0.5,84.0,0.0,65.90000000000002,0.7,0.5,18.100000000000005
322,0.5,84.5,0.1,66.00000000000001,0.1,0.4,18.500000000000004
323,0.0,84.5,0.0,66.00000000000001,0.3,0.0,18.500000000000004
324,0.5,85.0,0.9,66.90000000000002,0.9,-0.4,18.100000000000005
325,0.5,85.5,0.0,66.90000000000002,0.9,0.5,18.600000000000005
326,0.5,86.0,0.0,66.90000000000002,0.5,0.5,19.100000000000005
327,0.5,86.5,0.0,66.90000000000002,1.0,0.5,19.600000000000005
328,0.0,86.5,0.0,66.90000000000002,0.9,0.0,19.600000000000005
329,0.0,86.5,0.0,66.90000000000002,0.8,0.0,19.600000000000005
330,0.0,86.5,0.0,66.90000000000002,0.6,0.0,19.600000000000005
331,0.5,87.0,0.4,67.30000000000003,0.4,0.09999999999999998,19.700000000000006
332,0.0,87.0,0.2,67.50000000000003,0.2,-0.2,19.500000000000007
333,0.0,87.0,0.4,67.90000000000003,0.4,-0.4,19.10000000000001
334,0.0,87.0,0.1,68.00000000000003,0.1,-0.1,19.000000000000007
335,0.0,87.0,0.3,68.30000000000003,0.3,-0.3,18.700000000000006
336,0.5,87.5,0.0,68.30000000000003,0.7,0.5,19.200000000000006
337,0.5,88.0,0.4,68.70000000000003,0.4,0.09999999999999998,19.300000000000008
338,0.0,88.0,0.0,68.70000000000003,0.5,0.0,19.300000000000008
339,0.0,88.0,0.0,68.70000000000003,0.4,0.0,19.300000000000008
340,0.0,88.0,0.0,68.70000000000003,0.3,0.0,19.300000000000008
341,0.0,88.0,0.0,68.70000000000003,0.6,0.0,19.300000000000008
342,0.0,88.0,0.2,68.90000000000003,0.2,-0.2,19.10000000000001
343,0.0,88.0,0.0,68.90000000000003,0.9,0.0,19.10000000000001
344,0.0,88.0,0.0,68.90000000000003,0.8,0.0,19.10000000000001
345,0.5,88.5,0.0,68.90000000000003,1.0,0.5,19.60000000000001
346,0.5,89.0,0.1,69.00000000000003,0.1,0.4,20.000000000000007
347,0.0,89.0,0.2,69.20000000000003,0.2,-0.2,19.800000000000008
348,0.0,89.0,0.7,69.90000000000003,0.7,-0.7,19.10000000000001
349,0.5,89.5,0.0,69.90000000000003,0.7,0.5,19.60000000000001
350,0.5,90.0,0.5,70.40000000000003,0.5,0.0,19.60000000000001
351,0.5,90.5,0.4,70.80000000000004,0.4,0.09999999999999998,19.70000000000001
352,0.5,91.0,0.0,70.80000000000004,0.5,0.5,20.20000000000001
353,0.0,91.0,0.6,71.40000000000003,0.6,-0.6,19.60000000000001
354,0.0,91.0,0.0,71.40000000000003,0.6,0.0,19.60000000000001
355,0.5,91.5,0.3,71.70000000000003,0.3,0.2,19.800000000000008
356,0.0,91.5,0.4,72.10000000000004,0.4,-0.4,19.40000000000001
357,0.5,92.0,0.0,72.10000000000004,0.8,0.5,19.90000000000001
358,0.5,92.5,0.0,72.10000000000004,0.9,0.5,20.40000000000001
359,0.5,93.0,0.4,72.50000000000004,0.4,0.09999999999999998,20.50000000000001
360,0.0,93.0,0.7,73.20000000000005,0.7,-0.7,19.80000000000001
361,0.5,93.5,0.0,73.20000000000005,0.7,0.5,20.30000000000001
