round,ucb_reward,pd_reward,ucb_cumulative,pd_cumulative,optimal_reward,optimal_cumulative,ucb_price,pd_price,ucb_produced,pd_produced,pd_lambda
202,0.0,0.3,46.50000000000001,44.699999999999996,0.0,49.5,0.2,0.3,True,True,0.0
203,0.0,0.0,46.50000000000001,44.699999999999996,0.5,50.0,0.6,0.8,True,True,0.0
204,0.1,0.6,46.60000000000001,45.3,0.5,50.5,0.1,0.6,True,True,0.0
205,0.3,0.1,46.900000000000006,45.4,0.0,50.5,0.3,0.1,True,True,0.0
206,0.0,0.0,46.900000000000006,45.4,0.0,50.5,0.9,0.3,True,True,0.0
207,0.0,0.6,46.900000000000006,46.0,0.5,51.0,0.8,0.6,True,True,0.0
208,0.0,0.1,46.900000000000006,46.1,0.0,51.0,0.7,0.1,True,True,0.0
209,0.0,0.3,46.900000000000006,46.4,0.0,51.0,1.0,0.3,True,True,0.0
210,0.0,0.6,46.900000000000006,47.0,0.5,51.5,0.5,0.6,True,True,0.0
211,0.3,0.6,47.2,47.6,0.5,52.0,0.3,0.6,True,True,0.0
212,0.0,0.0,47.2,47.6,0.5,52.5,0.6,0.6,True,True,0.0
213,0.4,0.4,47.6,48.0,0.0,52.5,0.4,0.4,True,True,0.0
214,0.0,0.6,47.6,48.6,0.5,53.0,0.8,0.6,True,True,0.0
215,0.1,0.0,47.7,48.6,0.0,53.0,0.1,0.4,True,True,0.0
216,0.0,0.4,47.7,49.0,0.0,53.0,0.3,0.4,True,True,0.0
217,0.2,0.0,47.900000000000006,49.0,0.5,53.5,0.2,0.7,True,True,0.0
218,0.0,0.6,47.900000000000006,49.6,0.5,54.0,0.9,0.6,True,True,0.0
219,0.0,0.0,47.900000000000006,49.6,0.5,54.5,0.4,0.7,True,True,0.0
220,0.5,0.6,48.400000000000006,50.2,0.5,55.0,0.5,0.6,True,True,0.0
221,0.0,0.0,48.400000000000006,50.2,0.5,55.5,0.7,0.6,True,True,0.0
222,0.0,0.0,48.400000000000006,50.2,0.0,55.5,0.6,0.3,True,True,0.0
223,0.5,0.0,48.900000000000006,50.2,0.0,55.5,0.5,0.5,True,True,0.0
224,0.2,0.0,49.10000000000001,50.2,0.0,55.5,0.2,0.4,True,True,0.0
225,0.5,0.4,49.60000000000001,50.6,0.0,55.5,0.5,0.4,True,True,0.0
226,0.0,0.0,49.60000000000001,50.6,0.5,56.0,0.8,0.9,True,True,0.0
227,0.0,0.5,49.60000000000001,51.1,0.0,56.0,1.0,0.5,True,True,0.0
228,0.5,0.0,50.10000000000001,51.1,0.5,56.5,0.5,0.8,True,True,0.0
229,0.1,0.0,50.20000000000001,51.1,0.5,57.0,0.1,0.6,True,True,0.0
230,0.3,0.7,50.50000000000001,51.800000000000004,0.5,57.5,0.3,0.7,True,True,0.0
231,0.0,0.0,50.50000000000001,51.800000000000004,0.5,58.0,0.5,0.6,True,True,0.0
232,0.0,0.6,50.50000000000001,52.400000000000006,0.5,58.5,0.9,0.6,True,True,0.0
233,0.0,0.6,50.50000000000001,53.00000000000001,0.0,58.5,0.4,0.6,True,True,0.0
234,0.6,0.4,51.10000000000001,53.400000000000006,0.0,58.5,0.6,0.4,True,True,0.0
235,0.0,0.0,51.10000000000001,53.400000000000006,0.5,59.0,0.6,0.6,True,True,0.0
236,0.2,0.4,51.30000000000001,53.800000000000004,0.0,59.0,0.2,0.4,True,True,0.0
237,0.3,0.1,51.60000000000001,53.900000000000006,0.0,59.0,0.3,0.1,True,True,0.0
238,0.8,0.0,52.400000000000006,53.900000000000006,0.5,59.5,0.8,0.6,True,True,0.0
239,0.0,0.0,52.400000000000006,53.900000000000006,0.0,59.5,0.8,0.4,True,True,0.0
240,0.7,0.0,53.10000000000001,53.900000000000006,0.5,60.0,0.7,0.8,True,True,0.0
241,0.7,0.0,53.80000000000001,53.900000000000006,0.5,60.5,0.7,0.8,True,True,0.0
242,0.7,0.0,54.500000000000014,53.900000000000006,0.5,61.0,0.7,0.8,True,True,0.0
243,0.7,0.5,55.20000000000002,54.400000000000006,0.0,61.0,0.7,0.5,True,True,0.0
244,0.7,0.1,55.90000000000002,54.50000000000001,0.0,61.0,0.7,0.1,True,True,0.0
245,0.0,0.0,55.90000000000002,54.50000000000001,0.5,61.5,0.7,0.8,True,True,0.0
246,0.0,0.0,55.90000000000002,54.50000000000001,0.0,61.5,0.7,0.5,True,True,0.0
247,0.0,0.0,55.90000000000002,54.50000000000001,0.5,62.0,0.1,0.9,True,True,0.0
248,0.3,0.0,56.20000000000002,54.50000000000001,0.5,62.5,0.3,0.9,True,True,0.0
249,0.5,0.0,56.70000000000002,54.50000000000001,0.5,63.0,0.5,0.7,True,True,0.0
250,0.2,0.0,56.90000000000002,54.50000000000001,0.0,63.0,0.2,0.4,True,True,0.0
251,0.0,0.5,56.90000000000002,55.00000000000001,0.0,63.0,0.5,0.5,True,True,0.0
252,0.0,0.0,56.90000000000002,55.00000000000001,0.5,63.5,0.4,0.7,True,True,0.0
253,0.0,0.4,56.90000000000002,55.400000000000006,0.0,63.5,0.7,0.4,True,True,0.0
254,0.0,0.4,56.90000000000002,55.800000000000004,0.0,63.5,0.9,0.4,True,True,0.0
255,0.0,0.0,56.90000000000002,55.800000000000004,0.5,64.0,1.0,0.6,True,True,0.0
256,0.0,0.0,56.90000000000002,55.800000000000004,0.5,64.5,0.6,0.8,True,True,0.0
257,0.0,0.0,56.90000000000002,55.800000000000004,0.5,65.0,0.8,0.6,True,True,0.0
258,0.0,0.0,56.90000000000002,55.800000000000004,0.5,65.5,0.3,0.6,True,True,0.0
259,0.2,0.3,57.10000000000002,56.1,0.0,65.5,0.2,0.3,True,True,0.0
260,0.0,0.6,57.10000000000002,56.7,0.5,66.0,0.5,0.6,True,True,0.0
261,0.6,0.0,57.700000000000024,56.7,0.5,66.5,0.6,1.0,True,True,0.0
262,0.0,0.3,57.700000000000024,57.0,0.0,66.5,0.6,0.3,True,True,0.0
263,0.0,0.0,57.700000000000024,57.0,0.5,67.0,0.8,0.6,True,True,0.0
264,0.0,0.0,57.700000000000024,57.0,0.5,67.5,0.1,0.7,True,True,0.0
265,0.0,0.6,57.700000000000024,57.6,0.5,68.0,0.4,0.6,True,True,0.0
266,0.0,0.0,57.700000000000024,57.6,0.5,68.5,0.7,0.6,True,True,0.0
267,0.0,0.6,57.700000000000024,58.2,0.5,69.0,0.9,0.6,True,True,0.0
268,0.3,0.0,58.00000000000002,58.2,0.0,69.0,0.3,0.5,True,True,0.0
269,0.2,0.4,58.200000000000024,58.6,0.0,69.0,0.2,0.4,True,True,0.0
270,0.0,0.0,58.200000000000024,58.6,0.5,69.5,1.0,0.7,True,True,0.0
271,0.3,0.0,58.50000000000002,58.6,0.5,70.0,0.3,0.7,True,True,0.0
272,0.6,0.0,59.10000000000002,58.6,0.5,70.5,0.6,0.7,True,True,0.0
273,0.0,0.0,59.10000000000002,58.6,0.5,71.0,0.6,0.8,True,True,0.0
274,0.0,0.6,59.10000000000002,59.2,0.5,71.5,0.5,0.6,True,True,0.0
275,0.0,0.6,59.10000000000002,59.800000000000004,0.5,72.0,0.8,0.6,True,True,0.0
276,0.2,0.7,59.300000000000026,60.50000000000001,0.5,72.5,0.2,0.7,True,True,0.0
277,0.4,0.0,59.700000000000024,60.50000000000001,0.5,73.0,0.4,0.6,True,True,0.0
278,0.0,0.6,59.700000000000024,61.10000000000001,0.5,73.5,0.7,0.6,True,True,0.0
279,0.3,0.0,60.00000000000002,61.10000000000001,0.5,74.0,0.3,0.7,True,True,0.0
280,0.0,0.0,60.00000000000002,61.10000000000001,0.5,74.5,0.9,0.7,True,True,0.0
281,0.1,0.0,60.10000000000002,61.10000000000001,0.0,74.5,0.1,0.4,True,True,0.0
282,0.4,0.0,60.50000000000002,61.10000000000001,0.0,74.5,0.4,0.5,True,True,0.0
283,0.0,0.0,60.50000000000002,61.10000000000001,0.0,74.5,0.6,0.3,True,True,0.0
284,0.3,0.0,60.80000000000002,61.10000000000001,0.5,75.0,0.3,0.6,True,True,0.0
