round,reward,cumulative_reward,price_selected,produced,lambda_value,distribution_changed
487,0.0,60.89999999999999,0.8,True,9.259148988973065,False
488,0.0,60.89999999999999,0.8,True,9.278122654934075,False
489,0.0,60.89999999999999,0.9,True,9.297096320895085,False
490,0.0,60.89999999999999,0.8,True,9.316069986856094,False
491,0.0,60.89999999999999,0.8,True,9.335043652817104,False
492,0.8,61.69999999999999,0.8,True,9.354017318778114,False
493,0.0,61.69999999999999,0.7,True,9.372990984739124,False
494,0.0,61.69999999999999,0.8,True,9.391964650700134,False
495,0.0,61.69999999999999,0.8,True,9.410938316661143,False
496,0.0,61.69999999999999,0.7,True,9.429911982622153,False
497,0.0,61.69999999999999,0.6,True,9.448885648583163,False
498,0.0,61.69999999999999,0.7,True,9.467859314544173,False
499,0.5,62.19999999999999,0.5,True,9.486832980505183,False
500,0.0,62.19999999999999,0.9,True,9.505806646466192,False
501,0.0,62.19999999999999,1.0,True,9.524780312427202,False
502,0.0,62.19999999999999,0.7,True,9.543753978388212,False
503,0.0,62.19999999999999,0.3,True,9.562727644349222,False
504,0.0,62.19999999999999,1.0,True,9.581701310310232,False
505,0.0,62.19999999999999,0.5,True,9.600674976271241,False
506,0.0,62.19999999999999,0.9,True,9.619648642232251,False
507,0.0,62.19999999999999,0.7,True,9.638622308193261,False
508,0.5,62.69999999999999,0.5,True,9.65759597415427,False
509,0.0,62.69999999999999,0.5,True,9.67656964011528,False
510,0.0,62.69999999999999,0.7,True,9.69554330607629,False
511,0.0,62.69999999999999,0.7,True,9.7145169720373,False
512,0.0,62.69999999999999,0.8,True,9.73349063799831,False
513,0.0,62.69999999999999,0.8,True,9.75246430395932,False
514,0.0,62.69999999999999,0.9,True,9.77143796992033,False
515,0.0,62.69999999999999,0.7,True,9.79041163588134,False
516,0.0,62.69999999999999,0.9,True,9.80938530184235,False
517,0.0,62.69999999999999,0.8,True,9.828358967803359,False
518,0.0,62.69999999999999,0.9,True,9.847332633764369,False
519,0.0,62.69999999999999,1.0,True,9.866306299725379,False
520,0.0,62.69999999999999,0.8,True,9.885279965686388,False
521,0.0,62.69999999999999,1.0,True,9.904253631647398,False
522,0.0,62.69999999999999,0.9,True,9.923227297608408,False
523,0.0,62.69999999999999,0.7,True,9.942200963569418,False
524,0.5,63.19999999999999,0.5,True,9.961174629530428,False
525,0.2,63.39999999999999,0.2,True,9.980148295491437,True
526,0.0,63.39999999999999,0.5,True,9.999121961452447,False
527,0.0,63.39999999999999,0.8,True,10.018095627413457,False
528,0.0,63.39999999999999,0.5,True,10.037069293374467,False
529,0.0,63.39999999999999,0.9,True,10.056042959335477,False
530,0.0,63.39999999999999,0.7,True,10.075016625296486,False
531,0.0,63.39999999999999,1.0,True,10.093990291257496,False
532,0.0,63.39999999999999,0.9,True,10.112963957218506,False
533,0.0,63.39999999999999,0.8,True,10.131937623179516,False
534,0.2,63.599999999999994,0.2,True,10.150911289140526,False
535,0.0,63.599999999999994,0.6,True,10.169884955101535,False
536,0.0,63.599999999999994,0.9,True,10.188858621062545,False
537,0.0,63.599999999999994,0.9,True,10.207832287023555,False
538,0.0,63.599999999999994,0.9,True,10.226805952984565,False
539,0.0,63.599999999999994,0.6,True,10.245779618945575,False
540,0.0,63.599999999999994,0.7,True,10.264753284906584,False
541,0.0,63.599999999999994,0.5,True,10.283726950867594,False
542,0.0,63.599999999999994,0.6,True,10.302700616828604,False
543,0.0,63.599999999999994,0.4,True,10.321674282789614,False
544,0.0,63.599999999999994,0.6,True,10.340647948750624,False
545,0.0,63.599999999999994,1.0,True,10.359621614711633,False
546,0.0,63.599999999999994,0.6,True,10.378595280672643,False
547,0.5,64.1,0.5,True,10.397568946633653,False
548,0.0,64.1,0.8,True,10.416542612594663,False
549,0.0,64.1,1.0,True,10.435516278555673,False
550,0.0,64.1,0.8,True,10.454489944516682,False
551,0.0,64.1,0.4,True,10.473463610477692,False
552,0.0,64.1,0.6,True,10.492437276438702,False
553,0.0,64.1,1.0,True,10.511410942399712,False
554,0.0,64.1,0.9,True,10.530384608360722,False
555,0.0,64.1,0.5,True,10.549358274321731,False
556,0.0,64.1,1.0,True,10.568331940282741,False
557,0.0,64.1,0.8,True,10.587305606243751,False
558,0.0,64.1,0.8,True,10.60627927220476,False
559,0.0,64.1,1.0,True,10.62525293816577,False
560,0.0,64.1,0.5,True,10.64422660412678,False
561,0.0,64.1,0.5,True,10.66320027008779,False
562,0.0,64.1,0.7,True,10.6821739360488,False
563,0.0,64.1,0.5,True,10.70114760200981,False
564,0.0,64.1,1.0,True,10.72012126797082,False
565,0.0,64.1,0.9,True,10.73909493393183,False
566,0.0,64.1,0.9,True,10.75806859989284,False
567,0.0,64.1,0.6,True,10.777042265853849,False
568,0.0,64.1,0.6,True,10.796015931814859,False
569,0.0,64.1,0.8,True,10.814989597775869,False
570,0.0,64.1,1.0,True,10.833963263736878,False
571,0.0,64.1,0.8,True,10.852936929697888,False
