round,reward,cumulative_reward,price_selected,produced,lambda_value,optimal_reward,optimal_cumulative
207,0.0,39.19999999999999,0.8,True,1.3155075066300457,0.5,51.0
208,0.1,39.29999999999999,0.1,True,1.3218320619503825,0.0,51.0
209,0.5,39.79999999999999,0.5,True,1.3281566172707193,0.0,51.0
210,0.0,39.79999999999999,0.8,True,1.3344811725910561,0.5,51.5
211,0.0,39.79999999999999,0.8,True,1.340805727911393,0.5,52.0
212,0.0,39.79999999999999,0.8,True,1.3471302832317298,0.5,52.5
213,0.5,40.29999999999999,0.5,True,1.3534548385520666,0.0,52.5
214,0.0,40.29999999999999,0.9,True,1.3597793938724034,0.5,53.0
215,0.0,40.29999999999999,0.6,True,1.3661039491927403,0.0,53.0
216,0.0,40.29999999999999,0.6,True,1.372428504513077,0.0,53.0
217,0.0,40.29999999999999,0.9,True,1.378753059833414,0.5,53.5
218,0.0,40.29999999999999,0.8,True,1.3850776151537507,0.5,54.0
219,0.0,40.29999999999999,0.9,True,1.3914021704740875,0.5,54.5
220,0.8,41.09999999999999,0.8,True,1.3977267257944244,0.5,55.0
221,0.0,41.09999999999999,0.8,True,1.4040512811147612,0.5,55.5
222,0.4,41.499999999999986,0.4,True,1.410375836435098,0.0,55.5
223,0.6,42.09999999999999,0.6,True,1.4167003917554348,0.0,55.5
224,0.0,42.09999999999999,0.6,True,1.4230249470757717,0.0,55.5
225,0.6,42.69999999999999,0.6,True,1.4293495023961085,0.0,55.5
226,0.0,42.69999999999999,1.0,True,1.4356740577164453,0.5,56.0
227,0.0,42.69999999999999,0.7,True,1.4419986130367821,0.0,56.0
228,0.9,43.59999999999999,0.9,True,1.448323168357119,0.5,56.5
229,0.0,43.59999999999999,0.8,True,1.4546477236774558,0.5,57.0
230,0.0,43.59999999999999,0.9,True,1.4609722789977926,0.5,57.5
231,0.0,43.59999999999999,0.7,True,1.4672968343181294,0.5,58.0
232,0.0,43.59999999999999,0.8,True,1.4736213896384662,0.5,58.5
233,0.0,43.59999999999999,0.7,True,1.479945944958803,0.0,58.5
234,0.5,44.09999999999999,0.5,True,1.4862705002791399,0.0,58.5
235,0.0,44.09999999999999,0.9,True,1.4925950555994767,0.5,59.0
236,0.6,44.69999999999999,0.6,True,1.4989196109198135,0.0,59.0
237,0.2,44.89999999999999,0.2,True,1.5052441662401503,0.0,59.0
238,0.8,45.69999999999999,0.8,True,1.5115687215604872,0.5,59.5
239,0.0,45.69999999999999,0.5,True,1.517893276880824,0.0,59.5
240,0.0,45.69999999999999,1.0,True,1.5242178322011608,0.5,60.0
241,0.0,45.69999999999999,1.0,True,1.5305423875214976,0.5,60.5
242,0.0,45.69999999999999,1.0,True,1.5368669428418344,0.5,61.0
243,0.7,46.39999999999999,0.7,True,1.5431914981621713,0.0,61.0
244,0.2,46.599999999999994,0.2,True,1.549516053482508,0.0,61.0
245,0.0,46.599999999999994,1.0,True,1.555840608802845,0.5,61.5
246,0.0,46.599999999999994,0.7,True,1.5621651641231817,0.0,61.5
247,0.0,46.599999999999994,1.0,True,1.5684897194435186,0.5,62.0
248,0.0,46.599999999999994,1.0,True,1.5748142747638554,0.5,62.5
249,0.0,46.599999999999994,0.9,True,1.5811388300841922,0.5,63.0
250,0.6,47.199999999999996,0.6,True,1.587463385404529,0.0,63.0
251,0.0,47.199999999999996,0.7,True,1.5937879407248658,0.0,63.0
252,0.0,47.199999999999996,0.9,True,1.6001124960452027,0.5,63.5
253,0.0,47.199999999999996,0.6,True,1.6064370513655395,0.0,63.5
254,0.5,47.699999999999996,0.5,True,1.6127616066858763,0.0,63.5
255,0.0,47.699999999999996,0.8,True,1.6190861620062131,0.5,64.0
256,0.0,47.699999999999996,1.0,True,1.62541071732655,0.5,64.5
257,0.0,47.699999999999996,0.9,True,1.6317352726468868,0.5,65.0
258,0.0,47.699999999999996,0.8,True,1.6380598279672236,0.5,65.5
259,0.5,48.199999999999996,0.5,True,1.6443843832875604,0.0,65.5
260,0.0,48.199999999999996,0.8,True,1.6507089386078972,0.5,66.0
261,0.0,48.199999999999996,1.0,True,1.657033493928234,0.5,66.5
262,0.0,48.199999999999996,0.5,True,1.663358049248571,0.0,66.5
263,0.0,48.199999999999996,0.8,True,1.6696826045689077,0.5,67.0
264,0.0,48.199999999999996,0.9,True,1.6760071598892445,0.5,67.5
265,0.0,48.199999999999996,0.9,True,1.6823317152095814,0.5,68.0
266,0.0,48.199999999999996,0.9,True,1.6886562705299182,0.5,68.5
267,0.0,48.199999999999996,0.9,True,1.694980825850255,0.5,69.0
268,0.0,48.199999999999996,0.7,True,1.7013053811705918,0.0,69.0
269,0.0,48.199999999999996,0.6,True,1.7076299364909286,0.0,69.0
270,0.0,48.199999999999996,0.9,True,1.7139544918112655,0.5,69.5
271,0.0,48.199999999999996,0.9,True,1.7202790471316023,0.5,70.0
272,0.0,48.199999999999996,0.9,True,1.7266036024519391,0.5,70.5
273,0.0,48.199999999999996,1.0,True,1.732928157772276,0.5,71.0
274,0.0,48.199999999999996,0.8,True,1.7392527130926128,0.5,71.5
275,0.0,48.199999999999996,0.8,True,1.7455772684129496,0.5,72.0
276,0.0,48.199999999999996,0.9,True,1.7519018237332864,0.5,72.5
277,0.9,49.099999999999994,0.9,True,1.7582263790536232,0.5,73.0
278,0.0,49.099999999999994,0.9,True,1.76455093437396,0.5,73.5
279,0.0,49.099999999999994,0.9,True,1.7708754896942969,0.5,74.0
280,0.0,49.099999999999994,1.0,True,1.7772000450146337,0.5,74.5
281,0.7,49.8,0.7,True,1.7835246003349705,0.0,74.5
282,0.0,49.8,0.7,True,1.7898491556553073,0.0,74.5
283,0.0,49.8,0.5,True,1.7961737109756442,0.0,74.5
284,0.0,49.8,0.8,True,1.802498266295981,0.5,75.0
285,0.3,50.099999999999994,0.3,True,1.8088228216163178,0.0,75.0
286,0.0,50.099999999999994,0.8,True,1.8151473769366546,0.0,75.0
287,0.0,50.099999999999994,0.8,True,1.8214719322569914,0.5,75.5
288,0.0,50.099999999999994,0.7,True,1.8277964875773283,0.0,75.5
289,0.0,50.099999999999994,0.8,True,1.834121042897665,0.5,76.0
290,0.2,50.3,0.2,True,1.840445598218002,0.0,76.0
291,0.0,50.3,0.3,True,1.8467701535383387,0.0,76.0
292,0.0,50.3,0.9,True,1.8530947088586756,0.5,76.5
293,0.0,50.3,0.7,True,1.8594192641790124,0.0,76.5
294,0.5,50.8,0.5,True,1.8657438194993492,0.0,76.5
295,0.0,50.8,0.8,True,1.872068374819686,0.5,77.0
296,0.0,50.8,0.9,True,1.8783929301400228,0.5,77.5
297,0.0,50.8,0.6,True,1.8847174854603597,0.0,77.5
298,0.0,50.8,0.9,True,1.8910420407806965,0.5,78.0
299,0.5,51.3,0.5,True,1.8973665961010333,0.0,78.0
300,0.0,51.3,0.4,True,1.9036911514213701,0.0,78.0
301,0.8,52.099999999999994,0.8,True,1.910015706741707,0.5,78.5
302,0.0,52.099999999999994,0.8,True,1.9163402620620438,0.5,79.0
303,0.0,52.099999999999994,0.9,True,1.9226648173823806,0.5,79.5
304,0.0,52.099999999999994,0.9,True,1.9289893727027174,0.5,80.0
305,0.0,52.099999999999994,1.0,True,1.9353139280230542,0.5,80.5
306,0.0,52.099999999999994,0.8,True,1.941638483343391,0.5,81.0
307,0.7,52.8,0.7,True,1.9479630386637279,0.0,81.0
308,0.0,52.8,0.9,True,1.9542875939840647,0.5,81.5
309,0.7,53.5,0.7,True,1.9606121493044015,0.0,81.5
310,0.0,53.5,0.8,True,1.9669367046247384,0.0,81.5
311,0.5,54.0,0.5,True,1.9732612599450752,0.0,81.5
312,0.2,54.2,0.2,True,1.979585815265412,0.0,81.5
313,0.0,54.2,1.0,True,1.9859103705857488,0.5,82.0
314,0.0,54.2,1.0,True,1.9922349259060856,0.5,82.5
315,0.0,54.2,0.9,True,1.9985594812264225,0.5,83.0
316,0.0,54.2,0.8,True,2.004884036546759,0.0,83.0
317,0.6,54.800000000000004,0.6,True,2.0112085918670957,0.0,83.0
318,0.0,54.800000000000004,0.6,True,2.0175331471874323,0.0,83.0
319,0.0,54.800000000000004,0.7,True,2.023857702507769,0.0,83.0
320,0.0,54.800000000000004,0.9,True,2.0301822578281055,0.5,83.5
321,0.0,54.800000000000004,0.9,True,2.036506813148442,0.5,84.0
322,0.0,54.800000000000004,0.9,True,2.0428313684687787,0.5,84.5
323,0.0,54.800000000000004,0.7,True,2.0491559237891153,0.0,84.5
324,0.0,54.800000000000004,1.0,True,2.055480479109452,0.5,85.0
325,0.0,54.800000000000004,0.9,True,2.0618050344297885,0.5,85.5
326,0.0,54.800000000000004,0.9,True,2.068129589750125,0.5,86.0
327,0.0,54.800000000000004,0.9,True,2.0744541450704617,0.5,86.5
328,0.0,54.800000000000004,0.8,True,2.0807787003907983,0.0,86.5
329,0.0,54.800000000000004,0.7,True,2.087103255711135,0.0,86.5
330,0.0,54.800000000000004,0.8,True,2.0934278110314715,0.0,86.5
331,0.0,54.800000000000004,0.9,True,2.099752366351808,0.5,87.0
332,0.1,54.900000000000006,0.1,True,2.1060769216721447,0.0,87.0
333,0.5,55.400000000000006,0.5,True,2.1124014769924813,0.0,87.0
334,0.4,55.800000000000004,0.4,True,2.118726032312818,0.0,87.0
335,0.3,56.1,0.3,True,2.1250505876331545,0.0,87.0
336,0.0,56.1,1.0,True,2.131375142953491,0.5,87.5
337,0.0,56.1,0.9,True,2.1376996982738277,0.5,88.0
338,0.0,56.1,0.8,True,2.1440242535941643,0.0,88.0
339,0.0,56.1,0.5,True,2.150348808914501,0.0,88.0
340,0.0,56.1,0.8,True,2.1566733642348375,0.0,88.0
341,0.0,56.1,0.8,True,2.162997919555174,0.0,88.0
342,0.6,56.7,0.6,True,2.1693224748755107,0.0,88.0
343,0.0,56.7,0.8,True,2.1756470301958473,0.0,88.0
344,0.0,56.7,0.8,True,2.181971585516184,0.0,88.0
345,0.0,56.7,0.9,True,2.1882961408365205,0.5,88.5
346,0.0,56.7,0.9,True,2.194620696156857,0.5,89.0
