round,ucb_reward,pd_reward,ucb_cumulative,pd_cumulative,ucb_price,pd_price,ucb_produced,pd_produced,pd_lambda
497,0.1,0.4,83.19999999999999,102.4000000000001,0.1,0.4,True,True,0.0
498,0.4,0.4,83.6,102.80000000000011,0.4,0.4,True,True,0.0
499,0.2,0.3,83.8,103.10000000000011,0.2,0.3,True,True,0.0
500,0.3,0.0,84.1,103.10000000000011,0.3,0.5,True,True,0.0
501,0.0,0.6,84.1,103.7000000000001,0.5,0.6,True,True,0.0
502,0.0,0.4,84.1,104.10000000000011,0.7,0.4,True,True,0.0
503,0.4,0.0,84.5,104.10000000000011,0.4,0.2,True,True,0.0
504,0.4,0.0,84.9,104.10000000000011,0.4,0.9,True,True,0.0
505,0.0,0.3,84.9,104.4000000000001,0.6,0.3,True,True,0.0
506,0.4,0.0,85.30000000000001,104.4000000000001,0.4,0.5,True,True,0.0
507,0.3,0.0,85.60000000000001,104.4000000000001,0.3,0.4,True,True,0.0
508,0.4,0.3,86.00000000000001,104.7000000000001,0.4,0.3,True,True,0.0
509,0.0,0.0,86.00000000000001,104.7000000000001,0.4,0.3,True,True,0.0
510,0.2,0.4,86.20000000000002,105.10000000000011,0.2,0.4,True,True,0.0
511,0.0,0.0,86.20000000000002,105.10000000000011,0.3,0.4,True,True,0.0
512,0.1,0.0,86.30000000000001,105.10000000000011,0.1,0.4,True,True,0.0
513,0.0,0.4,86.30000000000001,105.50000000000011,0.8,0.4,True,True,0.0
514,0.0,0.5,86.30000000000001,106.00000000000011,0.9,0.5,True,True,0.0
515,0.0,0.4,86.30000000000001,106.40000000000012,1.0,0.4,True,True,0.0
516,0.5,0.0,86.80000000000001,106.40000000000012,0.5,0.5,True,True,0.0
517,0.5,0.0,87.30000000000001,106.40000000000012,0.5,0.4,True,True,0.0
518,0.0,0.5,87.30000000000001,106.90000000000012,0.5,0.5,True,True,0.0
519,0.2,0.0,87.50000000000001,106.90000000000012,0.2,0.6,True,True,0.0
520,0.0,0.0,87.50000000000001,106.90000000000012,0.7,0.5,True,True,0.0
521,0.6,0.0,88.10000000000001,106.90000000000012,0.6,0.5,True,True,0.0
522,0.6,0.5,88.7,107.40000000000012,0.6,0.5,True,True,0.0
523,0.6,0.4,89.3,107.80000000000013,0.6,0.4,True,True,0.0
524,0.0,0.4,89.3,108.20000000000013,0.6,0.4,True,True,0.0
525,0.6,0.2,89.89999999999999,108.40000000000013,0.6,0.2,True,True,0.0
526,0.0,0.3,89.89999999999999,108.70000000000013,0.6,0.3,True,True,0.0
527,0.0,0.0,89.89999999999999,108.70000000000013,0.4,0.5,True,True,0.0
528,0.5,0.3,90.39999999999999,109.00000000000013,0.5,0.3,True,True,0.0
529,0.0,0.0,90.39999999999999,109.00000000000013,0.5,0.5,True,True,0.0
530,0.0,0.0,90.39999999999999,109.00000000000013,0.3,0.4,True,True,0.0
531,0.0,0.0,90.39999999999999,109.00000000000013,0.6,1.0,True,True,0.0
532,0.0,0.0,90.39999999999999,109.00000000000013,0.2,0.5,True,True,0.0
533,0.1,0.0,90.49999999999999,109.00000000000013,0.1,0.4,True,True,0.0
534,0.4,0.2,90.89999999999999,109.20000000000013,0.4,0.2,True,True,0.0
535,0.0,0.4,90.89999999999999,109.60000000000014,0.5,0.4,True,True,0.0
536,0.0,0.5,90.89999999999999,110.10000000000014,0.4,0.5,True,True,0.0
537,0.7,0.0,91.6,110.10000000000014,0.7,0.5,True,True,0.0
538,0.0,0.0,91.6,110.10000000000014,0.7,0.5,True,True,0.0
539,0.0,0.4,91.6,110.50000000000014,0.8,0.4,True,True,0.0
540,0.0,0.0,91.6,110.50000000000014,0.9,0.4,True,True,0.0
541,0.0,0.0,91.6,110.50000000000014,1.0,0.3,True,True,0.0
542,0.0,0.0,91.6,110.50000000000014,0.3,0.4,True,True,0.0
543,0.0,0.3,91.6,110.80000000000014,0.7,0.3,True,True,0.0
544,0.0,0.0,91.6,110.80000000000014,0.6,0.4,True,True,0.0
545,0.2,0.0,91.8,110.80000000000014,0.2,0.9,True,True,0.0
546,0.1,0.0,91.89999999999999,110.80000000000014,0.1,0.4,True,True,0.0
547,0.0,0.3,91.89999999999999,111.10000000000014,0.5,0.3,True,True,0.0
548,0.0,0.4,91.89999999999999,111.50000000000014,0.4,0.4,True,True,0.0
549,0.2,0.0,92.1,111.50000000000014,0.2,0.7,True,True,0.0
