round,unconstrained_reward,unconstrained_cumulative,unconstrained_price,constrained_reward,constrained_cumulative,constrained_price,constrained_produced
396,0.5,79.60000000000002,0.5,0.0,11.399999999999999,0.0,False
397,0.5,80.10000000000002,0.5,0.0,11.399999999999999,0.0,False
398,0.5,80.60000000000002,0.5,0.0,11.399999999999999,0.0,False
399,0.5,81.10000000000002,0.5,0.0,11.399999999999999,0.0,False
400,0.0,81.10000000000002,0.5,0.0,11.399999999999999,0.0,False
401,0.3,81.40000000000002,0.3,0.0,11.399999999999999,0.0,False
402,0.2,81.60000000000002,0.2,0.0,11.399999999999999,0.0,False
403,0.4,82.00000000000003,0.4,0.0,11.399999999999999,0.0,False
404,0.0,82.00000000000003,0.7,0.0,11.399999999999999,0.0,False
405,0.0,82.00000000000003,0.9,0.0,11.399999999999999,0.0,False
406,0.4,82.40000000000003,0.4,0.0,11.399999999999999,0.0,False
407,0.0,82.40000000000003,0.6,0.0,11.399999999999999,0.0,False
408,0.3,82.70000000000003,0.3,0.0,11.399999999999999,0.0,False
409,0.0,82.70000000000003,0.4,0.0,11.399999999999999,0.0,False
410,0.0,82.70000000000003,0.1,0.0,11.399999999999999,0.0,False
411,0.0,82.70000000000003,0.8,0.0,11.399999999999999,0.0,False
412,0.5,83.20000000000003,0.5,0.0,11.399999999999999,0.0,False
413,0.0,83.20000000000003,1.0,0.0,11.399999999999999,0.0,False
414,0.0,83.20000000000003,0.5,0.0,11.399999999999999,0.0,False
415,0.2,83.40000000000003,0.2,0.0,11.399999999999999,0.0,False
416,0.0,83.40000000000003,0.3,0.0,11.399999999999999,0.0,False
417,0.0,83.40000000000003,0.7,0.0,11.399999999999999,0.0,False
418,0.0,83.40000000000003,0.4,0.0,11.399999999999999,0.0,False
419,0.6,84.00000000000003,0.6,0.0,11.399999999999999,0.0,False
420,0.6,84.60000000000002,0.6,0.0,11.399999999999999,0.0,False
421,0.6,85.20000000000002,0.6,0.0,11.399999999999999,0.0,False
422,0.0,85.20000000000002,0.6,0.0,11.399999999999999,0.0,False
423,0.2,85.40000000000002,0.2,0.0,11.399999999999999,0.0,False
424,0.5,85.90000000000002,0.5,0.0,11.399999999999999,0.0,False
425,0.5,86.40000000000002,0.5,0.0,11.399999999999999,0.0,False
426,0.8,87.20000000000002,0.8,0.0,11.399999999999999,0.0,False
427,0.0,87.20000000000002,0.8,0.0,11.399999999999999,0.0,False
428,0.0,87.20000000000002,0.5,0.0,11.399999999999999,0.0,False
429,0.0,87.20000000000002,0.9,0.0,11.399999999999999,0.0,False
430,0.0,87.20000000000002,0.6,0.0,11.399999999999999,0.0,False
431,0.3,87.50000000000001,0.3,0.0,11.399999999999999,0.0,False
432,0.1,87.60000000000001,0.1,0.0,11.399999999999999,0.0,False
433,0.0,87.60000000000001,0.8,0.0,11.399999999999999,0.0,False
434,0.2,87.80000000000001,0.2,0.0,11.399999999999999,0.0,False
435,0.0,87.80000000000001,0.7,0.0,11.399999999999999,0.0,False
436,0.0,87.80000000000001,1.0,0.0,11.399999999999999,0.0,False
437,0.0,87.80000000000001,0.4,0.0,11.399999999999999,0.0,False
438,0.3,88.10000000000001,0.3,0.0,11.399999999999999,0.0,False
439,0.0,88.10000000000001,0.5,0.0,11.399999999999999,0.0,False
440,0.6,88.7,0.6,0.0,11.399999999999999,0.0,False
441,0.0,88.7,0.6,0.0,11.399999999999999,0.0,False
442,0.0,88.7,0.3,0.0,11.399999999999999,0.0,False
443,0.2,88.9,0.2,0.0,11.399999999999999,0.0,False
444,0.1,89.0,0.1,0.0,11.399999999999999,0.0,False
445,0.8,89.8,0.8,0.0,11.399999999999999,0.0,False
446,0.0,89.8,0.8,0.0,11.399999999999999,0.0,False
447,0.0,89.8,0.9,0.0,11.399999999999999,0.0,False
448,0.4,90.2,0.4,0.0,11.399999999999999,0.0,False
449,0.0,90.2,0.7,0.0,11.399999999999999,0.0,False
450,0.0,90.2,0.8,0.0,11.399999999999999,0.0,False
451,0.5,90.7,0.5,0.0,11.399999999999999,0.0,False
452,0.5,91.2,0.5,0.0,11.399999999999999,0.0,False
453,0.0,91.2,0.5,0.0,11.399999999999999,0.0,False
454,0.0,91.2,0.4,0.0,11.399999999999999,0.0,False
455,0.2,91.4,0.2,0.0,11.399999999999999,0.0,False
456,0.0,91.4,0.6,0.0,11.399999999999999,0.0,False
457,0.3,91.7,0.3,0.0,11.399999999999999,0.0,False
458,0.0,91.7,1.0,0.0,11.399999999999999,0.0,False
459,0.1,91.8,0.1,0.0,11.399999999999999,0.0,False
460,0.2,92.0,0.2,0.0,11.399999999999999,0.0,False
461,0.3,92.3,0.3,0.0,11.399999999999999,0.0,False
462,0.0,92.3,0.5,0.0,11.399999999999999,0.0,False
463,0.4,92.7,0.4,0.0,11.399999999999999,0.0,False
464,0.0,92.7,0.6,0.0,11.399999999999999,0.0,False
465,0.8,93.5,0.8,0.0,11.399999999999999,0.0,False
466,0.0,93.5,0.8,0.0,11.399999999999999,0.0,False
467,0.0,93.5,0.7,0.0,11.399999999999999,0.0,False
468,0.4,93.9,0.4,0.0,11.399999999999999,0.0,False
469,0.3,94.2,0.3,0.0,11.399999999999999,0.0,False
470,0.4,94.60000000000001,0.4,0.0,11.399999999999999,0.0,False
471,0.0,94.60000000000001,0.9,0.0,11.399999999999999,0.0,False
472,0.0,94.60000000000001,0.8,0.0,11.399999999999999,0.0,False
473,0.2,94.80000000000001,0.2,0.0,11.399999999999999,0.0,False
474,0.4,95.20000000000002,0.4,0.0,11.399999999999999,0.0,False
475,0.3,95.50000000000001,0.3,0.0,11.399999999999999,0.0,False
476,0.4,95.90000000000002,0.4,0.0,11.399999999999999,0.0,False
477,0.0,95.90000000000002,0.5,0.0,11.399999999999999,0.0,False
478,0.0,95.90000000000002,0.1,0.0,11.399999999999999,0.0,False
479,0.4,96.30000000000003,0.4,0.0,11.399999999999999,0.0,False
480,0.4,96.70000000000003,0.4,0.0,11.399999999999999,0.0,False
481,0.3,97.00000000000003,0.3,0.0,11.399999999999999,0.0,False
482,0.0,97.00000000000003,0.6,0.0,11.399999999999999,0.0,False
483,0.2,97.20000000000003,0.2,0.0,11.399999999999999,0.0,False
484,0.0,97.20000000000003,1.0,0.0,11.399999999999999,0.0,False
485,0.4,97.60000000000004,0.4,0.0,11.399999999999999,0.0,False
486,0.0,97.60000000000004,0.7,0.0,11.399999999999999,0.0,False
487,0.0,97.60000000000004,0.4,0.0,11.399999999999999,0.0,False
488,0.0,97.60000000000004,0.3,0.0,11.399999999999999,0.0,False
489,0.0,97.60000000000004,0.8,0.0,11.399999999999999,0.0,False
490,0.5,98.10000000000004,0.5,0.0,11.399999999999999,0.0,False
491,0.0,98.10000000000004,0.5,0.0,11.399999999999999,0.0,False
492,0.2,98.30000000000004,0.2,0.0,11.399999999999999,0.0,False
493,0.0,98.30000000000004,0.9,0.0,11.399999999999999,0.0,False
